"""siteid""","""sitename""","""county""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 00:00",7
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 00:00",41.1
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 00:00",21
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 00:00",9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 00:00",1.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 00:00",0.23
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 01:00",4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 01:00",0.18
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 01:00",15
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 01:00",0.7
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 01:00",40.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 01:00",5.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 02:00",22
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 02:00",0.18
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 02:00",6
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 02:00",6.6
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 02:00",0.9
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 02:00",36.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 03:00",4
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 03:00",6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 03:00",24
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 03:00",0.17
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 03:00",37.7
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 03:00",0.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 04:00",5
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 04:00",37.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 04:00",21
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 04:00",0.8
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 04:00",6.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 04:00",0.18
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 05:00",35.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 05:00",5
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 05:00",8.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 05:00",0.19
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 05:00",25
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 05:00",1.3
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 06:00",6
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 06:00",31.2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 06:00",0.25
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 06:00",10.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 06:00",24
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 06:00",1.4
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 07:00",1.3
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 07:00",31.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 07:00",21
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 07:00",8
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 07:00",11.6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 07:00",0.3
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 08:00",34.8
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 08:00",1.2
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 08:00",10.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 08:00",25
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 08:00",6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 08:00",0.32
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 09:00",0.27
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 09:00",8
