"""siteid""","""sitename""","""county""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
24,新竹,新竹市,6,一氧化氮,NO,ppb,"2023-01-01 00:00",0.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2023-01-01 00:00",0.23
24,新竹,新竹市,14,溫度,AMB_TEMP,℃,"2023-01-01 00:00",18.4
24,新竹,新竹市,8,總碳氫化物,THC,ppm,"2023-01-01 00:00",1.95
24,新竹,新竹市,9,非甲烷碳氫化合物,NMHC,ppm,"2023-01-01 00:00",0.04
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2023-01-01 00:00",14
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2023-01-01 00:00",1
24,新竹,新竹市,10,風速,WIND_SPEED,m/sec,"2023-01-01 00:00",2.8
24,新竹,新竹市,23,雨量,RAINFALL,mm,"2023-01-01 00:00",0
24,新竹,新竹市,38,相對濕度,RH,%,"2023-01-01 00:00",86
24,新竹,新竹市,11,風向,WIND_DIREC,degrees,"2023-01-01 00:00",58
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2023-01-01 00:00",14
24,新竹,新竹市,143,小時風速值,WS_HR,m/sec,"2023-01-01 00:00",2.6
24,新竹,新竹市,3,臭氧,O3,ppb,"2023-01-01 00:00",38.7
24,新竹,新竹市,31,甲烷,CH4,ppm,"2023-01-01 00:00",1.91
24,新竹,新竹市,5,氮氧化物,NOx,ppb,"2023-01-01 00:00",5.3
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2023-01-01 00:00",4.8
24,新竹,新竹市,144,小時風向值,WD_HR,degrees,"2023-01-01 00:00",53
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2023-01-01 01:00",5.3
24,新竹,新竹市,31,甲烷,CH4,ppm,"2023-01-01 01:00",1.91
24,新竹,新竹市,10,風速,WIND_SPEED,m/sec,"2023-01-01 01:00",3.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2023-01-01 01:00",9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2023-01-01 01:00",0.22
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2023-01-01 01:00",13
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2023-01-01 01:00",0.4
24,新竹,新竹市,11,風向,WIND_DIREC,degrees,"2023-01-01 01:00",48
24,新竹,新竹市,38,相對濕度,RH,%,"2023-01-01 01:00",87
24,新竹,新竹市,8,總碳氫化物,THC,ppm,"2023-01-01 01:00",1.94
