,m_time,measure_time,sn,$c0_am0#am_ms#0__cfg,$c0_pm10#pm_ugm3#0__cfg,$c0_pm2p5#pm_ugm3#0__cfg,$c0_rh0#rh_p#0__cfg,$c0_tm0#tm_c#0__cfg,$c0_wv0#wv_deg#0__cfg,$c1_0#ec_na#0__cfg,$c1_3#ec_na#0__cfg,$c1_4#ec_na#0__cfg,$c1_5#ec_na#0__cfg,$e0_co#mc_ppm#0__cfg,$e0_no2#mc_ppb#0__cfg,$e0_o3#mc_ppb#0__cfg,$e0_so2#mc_ppb#0__cfg,c0_am0#am_ms#0,c0_pm10#pm_ugm3#0,c0_pm2p5#pm_ugm3#0,c0_rh0#rh_p#0,c0_tm0#tm_c#0,c0_wv0#wv_deg#0,c1_0#ec_na#0,c1_3#ec_na#0,c1_4#ec_na#0,c1_5#ec_na#0,e0_co#mc_ppm#0,e0_no2#mc_ppb#0,e0_o3#mc_ppb#0,e0_so2#mc_ppb#0
0,1671006717,2022-12-14T08:31:57Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,7.421875,-0.097599998,-0.097655997,100,5.27,25.47,1.43
1,1671006721,2022-12-14T08:32:01Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
2,1671006725,2022-12-14T08:32:05Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
3,1671006729,2022-12-14T08:32:09Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
4,1671006733,2022-12-14T08:32:13Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
5,1671006737,2022-12-14T08:32:17Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
6,1671006741,2022-12-14T08:32:21Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
7,1671006745,2022-12-14T08:32:25Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
8,1671006749,2022-12-14T08:32:29Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
9,1671006753,2022-12-14T08:32:33Z,ENSABE020002,,"[0, 3]","[0.00689691, 23.20540047]",,,,"[5.391419888, -10.26920033, 1, 0.99000001, 0, 1.75]","[-13.02180004, -12.51060009, 0.039999999, 0.01, 0, 1]","[-40.75, 25.46870041, 0, 0, 1, 0]","[-0.192579001, -12.96100044, 0.039999999, 1, 0, -3.819999933]",,,,,0,0,0,60.3,18.2,330,0.0,0.0,-1.953125,-1.953125,100,5.27,25.47,1.43
